x,poly4
-0.4305552749198331,152.9181159381294
-0.4297086042035878,148.74712670541203
-0.4288619334873426,144.62083996427202
-0.4280152627710973,140.53903998159808
-0.427168592054852,136.50151145028553
-0.42632192133860675,132.50803948923635
-0.4254752506223615,128.55840964335937
-0.42462857990611624,124.6524078835688
-0.42378190918987096,120.78982060678572
-0.4229352384736257,116.9704346359382
-0.42208856775738046,113.19403721995945
-0.4212418970411352,109.46041603379024
-0.4203952263248899,105.76935917837716
-0.4195485556086447,102.12065518067323
-0.4187018848923994,98.51409299363763
-0.4178552141761541,94.94946199623678
-0.41700854345990884,91.42655199344267
-0.4161618727436636,87.94515321623419
-0.41531520202741834,84.50505632159582
-0.41446853131117306,81.10605239251981
-0.4136218605949278,77.7479329380036
-0.41277518987868256,74.4304898930518
-0.4119285191624373,71.1535156186743
-0.411081848446192,67.91680290188856
-0.4102351777299468,64.72014495571864
-0.4093885070137015,61.56333541919332
-0.4085418362974562,58.44616835734939
-0.40769516558121094,55.368438261229585
-0.4068484948649657,52.329940047882815
-0.40600182414872044,49.330469060364294
-0.40515515343247516,46.36982106773621
-0.4043084827162299,43.44779226506637
-0.40346181199998465,40.56417927342977
-0.4026151412837394,37.71877913990738
-0.4017684705674941,34.91138933758634
-0.4009217998512488,32.141807765560316
-0.4000751291350036,29.40983274893017
-0.3992284584187583,26.715263038801936
-0.39838178770251303,24.057897812288843
-0.39753511698626776,21.437536672510305
-0.39668844627002253,18.853979648591917
-0.39584177555377725,16.30702719566591
-0.394995104837532,13.796480194870924
-0.39414843412128675,11.32213995335178
-0.39330176340504147,8.883808204259935
-0.3924550926887962,6.481287106753484
-0.3916084219725509,4.114379245995792
-0.3907617512563057,1.7828876331583388
-0.3899150805400604,-0.5133842945825791
-0.38906840982381513,-2.7746326740435734
-0.38822173910756985,-5.001053216034393
-0.38737506839132463,-7.192841205359173
-0.38652839767507935,-9.350191500815754
-0.38568172695883407,-11.473298535195
-0.38483505624258885,-13.562356315281136
-0.38398838552634357,-15.617558421852891
-0.3831417148100983,-17.639098009682243
-0.382295044093853,-19.62716780753442
-0.3814483733776078,-21.581960118168467
-0.3806017026613625,-23.50366681833725
-0.3797550319451172,-25.392479358787
-0.37890836122887195,-27.248588764257647
-0.3780616905126267,-29.072185633482718
-0.37721501979638145,-30.863460139189215
-0.37636834908013617,-32.62260202809796
-0.37552167836389094,-34.34980062092325
-0.37467500764764566,-36.04524481237286
