#Curve       0,   269  points
0         #x        y  type     NaN
168     37.75045  351.32146     i     NaN
169     38.00827  341.64152     i     NaN
170     38.37868  330.59919     i     NaN
171     38.43311  348.39676     i     NaN
172     39.11050  327.59514     i     NaN
173     39.65616  322.45992     i     NaN
174     41.10852  316.15447     i     NaN
175     41.78004  312.07350     i     NaN
176     41.85550  304.44130     i     NaN
177     42.05709  308.43725     i     NaN
178     46.49807  320.25506     i     NaN
179     46.57361  313.89162     i     NaN
180     47.41453  296.85749     i     NaN
181     47.64823  292.51012     i     NaN
182     47.89527  299.86411     i     NaN
183     48.62304  288.19433     i     NaN
184     49.09337  280.45344     i     NaN
185     49.38731  284.26721     i     NaN
186     50.02295  276.03681     i     NaN
187     51.06412  265.27530     i     NaN
188     51.11782  270.79054     i     NaN
189     51.50907  262.69636     i     NaN
190     54.60217  284.71660     i     NaN
191     55.73834  272.59059     i     NaN
192     56.00899  280.32389     i     NaN
193     56.98884  277.65992     i     NaN
194     57.15083  249.85830     i     NaN
195     57.30829  257.85674     i     NaN
196     58.28963  245.32389     i     NaN
197     58.85582  242.00810     i     NaN
198     65.38197  229.90283     i     NaN
199     66.55882  216.65789     i     NaN
200     68.01574  202.68421     i     NaN
201     72.79325  195.70040     i     NaN
202     73.29089  189.54803     i     NaN
203     74.81987  185.32794     i     NaN
204     75.04126  174.50718     i     NaN
205     75.46762  181.75709     i     NaN
206     76.51490  160.75709     i     NaN
207     81.28435  145.36842     i     NaN
208     82.66580  132.67915     i     NaN
209     84.33116  118.59649     i     NaN
210     86.98913  104.67773     i     NaN
211     89.26378   89.25506     i     NaN
212     89.46138   91.04993     i     NaN
213     91.88805   76.87989     i     NaN
214     94.71563   62.77976     i     NaN
215     97.20061   48.58447     i     NaN
216    100.06395   34.75709     i     NaN
217    103.89813   21.19249     i     NaN
218    107.48515   16.87449     i     NaN
219    109.94619   13.94130     i     NaN
220    115.45847   12.61318     i     NaN
221    120.39083   10.11066     i     NaN
222    125.31969    6.46080     i     NaN
223    130.74916    4.97681     i     NaN
224    136.17897    3.60103     i     NaN
225    141.61204    3.29187     i     NaN
226    147.05192    5.20869     i     NaN
227    152.48480    4.83769     i     NaN
228    157.87325    3.39879     i     NaN
229    163.34801    3.26095     i     NaN
230    168.78174    3.16820     i     NaN
231    174.21377    2.51895     i     NaN
232    179.64689    2.22525     i     NaN
233    184.09169    1.82996     i     NaN
234    190.01066   -1.12919     i     NaN
235    194.46127    0.37247     i     NaN
236    200.88792    1.88826     i     NaN
237    206.30978   -2.08760     i     NaN
238    211.70320   -1.90081     i     NaN
239    216.68471   -1.79217     i     NaN
