x;y
-10,585894410438147; 0,005200396665592827
-10,546765034364263; 0,006771746134020623
-10,545152491408938; 0,0035220682989691166
-10,56312618127148; 0,0018259101159794067
-10,535952653684614; 0,0005383734249713445
-10,50593069873998; -0,0009224656357388061
-10,485839776632304; 0,005506604381443292
-10,395714776632305; 0,008818298969072186
-10,348229084060272; 0,010324829004758132
-10,351257409793817; 0,012970320554123713
-10,23136944595165; 0,008665106710074172
-10,278200171821307; 0,022189110824742272
-10,220922250859108; 0,011162532216494853
-10,216238955907155; 0,014666105488139555
-10,193045532646051; 0,013258698453608248
-10,093285008591067; 0,008576433634020636
-10,075972938144332; 0,01158424613402062
-10,068401085598254; 0,010118395618556694
-10,036944981386025; 0,014318151310137459
-10,061870704467356; 0,012948614690721658
-10,08576406786942; 0,007320594394329916
-9,974340635738834; 0,009103576030927846
-9,91099871134021; 0,015730509020618566
-9,953645833333336; 0,013041639819587628
-9,897615549828181; 0,020061050257731944
-9,879457092401683; 0,01792373639747996
-9,882352878006875; 0,016638611469072168
-9,296103951890037; 0,009573131443298993
-9,276039518900346; 0,016111469072164958
-9,229040664375718; 0,010772121993127173
-9,225093738067969; 0,008382803550973678
-9,22300955756014; 0,005739167203608259
-9,110156993457577; 0,018800849400277556
-9,106377052310044; 0,01084142325315006
-9,109144711722035; 0,009027777777777773
-9,066424873394832; 0,016290991250678247
-9,073566268353643; 0,014414465206185584
-9,0654381443299; 0,012943844171292629
-9,121110395189007; 0,012080380154639178
-9,034577049128169; 0,020284966828942347
-8,961664771578736; 0,018603083308065496
-8,954917191676214; 0,0211210445303551
-8,914455541237118; 0,015956427190721656
-8,908036445942376; 0,013979046887390961
-8,943343356242844; 0,013069695017182137
-8,8502329133257; 0,019281214203894614
-8,828988020236734; 0,017642593785796107
-8,849158791523484; 0,02146558204467354
-8,76197451317297; 0,015739368556701036
-8,761948203035512; 0,013977059170962203
-8,68665652443681; 0,01265575780355098
-8,585214776632304; 0,015686211340206188
-8,597225671665107; 0,014200225515463932
-8,591448757875146; 0,010215816956615123
-8,668064862542959; 0,00873147551546391
-8,52572351088202; 0,012965152491408935
-8,512820017182133; 0,011336179123711349
-8,43828252911417; 0,016433473833046983
-8,422339454467357; 0,01466957957474227
-8,437530319301262; 0,010353804231099675
-8,373242649866363; 0,013079538946162664
-8,397401202749144; 0,011522229381443302
-8,439963487972511; 0,02039062500000001
-8,303532646048112; 0,01725257731958764
-8,27015381311129; 0,016039911280729582
-8,263039474843602; 0,014171457837694953
-8,336346649484538; 0,00972374355670104
-8,201875536941584; 0,013181177512886597
-8,114769473081331; 0,017109643470790387
-8,137479596219935; 0,015460293170103098
-8,169054266895765; 0,014230294243986266
-8,163609321305845; 0,011615254510309286
-7,99538516609393; 0,018893363402061866
-8,035960051546395; 0,020886759020618567
-7,959272578393474; 0,01711536525451031
-7,906931915807563; 0,015965286726804126
-7,87685137457045; 0,014499033505154649
-7,937705469644907; 0,012493825171821321
-7,836450845318403; 0,018186197419498562
-7,7480314977652025; 0,01689887916077086
-7,754301761168387; 0,014046311211340215
